1	六四事件	4196884
2	炮仔聲 (台灣電視劇)	4092194
3	我們與惡的距離	3709663
4	鬼滅之刃	3531736
5	皓镧传	3142801
6	德魯納酒店	2801409
7	习近平	2681422
8	小女花不弃	2487093
9	倚天屠龍記 (2019年電視劇)	2391711
10	我們不能是朋友	2331918
11	復仇者聯盟：終局之戰	2305728
12	知否？知否？应是绿肥红瘦	2198969
13	韓國瑜	2014747
14	愛·回家之開心速遞	2006568
15	高以翔	1863753
16	如懿傳	1820529
17	中華民國	1767286
18	防彈少年團	1759480
19	草榴社区	1723939
20	大時代 (台灣電視劇)	1710703
21	延禧攻略	1700529
22	反對逃犯條例修訂草案運動	1698762
23	香港	1677163
24	中华人民共和国	1613329
25	Sky Castle	1516595
26	亲爱的，热爱的	1503385
27	2019年Running Man節目列表	1484736
28	皇后的品格	1479565
29	歌手2019	1471994
30	2020年中華民國總統選舉	1401220
31	蔡英文	1389710
32	關於我轉生變成史萊姆這檔事	1379053
33	乾隆帝	1367561
34	小丑 (電影)	1365546
35	俗女養成記	1340855
36	她的私生活	1340606
37	白色強人	1339605
38	Running Man	1337020
39	PRODUCE X 101	1335128
40	刀劍神域	1318276
41	漫威电影宇宙	1317635
42	臺灣	1316246
43	TWICE	1316136
44	金宵大廈	1295691
45	進擊的巨人	1285957
46	2019年逃犯及刑事事宜相互法律協助法例（修訂）條例草案	1271196
47	女兵日記女力報到	1259760
48	陈情令	1246826
49	如懿傳角色列表	1230615
50	綜藝玩很大	1227727
51	多情城市	1208594
52	郭台銘	1188079
53	意外發現的一天	1185816
54	鐵探	1166164
55	名偵探柯南動畫集數列表	1164838
56	郭文贵	1158046
57	林鄭月娥	1137921
58	驚奇隊長 (電影)	1136231
59	秦始皇	1136138
60	切尔诺贝利核事故	1132549
61	IU (艺人)	1132035
62	IZ*ONE	1127995
63	解決師	1122446
64	江泽民	1112149
65	觸及真心	1108207
66	你有念大學嗎？	1107853
67	一拳超人	1106173
68	香蜜沉沉燼如霜	1100605
69	权力的游戏 (电视剧)	1096973
70	ITZY	1095634
71	十二傳說	1094037
72	王嘉爾	1083903
73	鄧紫棋	1054573
74	邓伦	1028497
75	延禧攻略角色列表	1007540
76	盾之勇者成名錄	1002673
77	还愿 (游戏)	1002290
78	我的英雄學院	991389
79	林志玲	986260
80	全球最高電影票房	983202
81	用九柑仔店	955087
82	寄生上流	948957
83	庆余年	943277
84	日本	942421
85	Running Man節目列表	938224
86	迪丽热巴	933557
87	伊莉討論區	930857
88	文化大革命	928260
89	奈何BOSS要娶我	927568
90	杨幂	918050
91	毛泽东	917135
92	周杰倫	915962
93	ONE PIECE	915472
94	請輸入檢索詞WWW	911441
95	趙麗穎	910609
96	在地下城尋求邂逅是否搞錯了什麼	906983
97	东宫 (电视剧)	906522
98	致我们暖暖的小时光	906240
99	EXO	904343
100	最佳利益	900292
101	中国大陆电视剧列表 (2019年)	888729
102	JoJo的奇妙冒险	887061
103	习明泽	883676
104	蜘蛛人：離家日	878002
105	必勝大丈夫	869566
106	新加坡	869472
107	鬼滅之刃角色列表	864526
108	返校 (電影)	861168
109	李屍朝鮮	853282
110	艾莉塔：戰鬥天使	849853
111	聲林之王	834875
112	天之蕉子	833625
113	三生三世十里桃花 (电视剧)	829871
114	知否知否应是绿肥红瘦	822424
115	李现	818396
116	杨紫	816711
117	蔡依林	816573
118	翡翠台電視劇集列表 (2010年代)	815676
119	五等分的新娘	814253
120	月村歡迎你	814249
121	火影忍者疾風傳動畫集數列表	803256
122	倚天屠龙记	796654
123	VAGABOND (電視劇)	789384
124	比悲傷更悲傷的故事 (2018年電影)	786666
125	Super Junior	783648
126	HIStory3	780447
127	我只喜欢你	780023
128	长安十二时辰	775249
129	(G)I-DLE	764884
130	輪到你了	758253
131	黃心穎	752792
132	阿爾罕布拉宮的回憶 (電視劇)	749045
133	荷里活有個大老千	748904
134	青春有你	746939
135	五月天	746532
136	五十音	746023
137	扶摇	744288
138	阿拉丁 (2019年電影)	743695
139	黃之鋒	741463
140	多功能老婆	738599
141	ONE PIECE動畫集數列表	736853
142	维基百科	733954
143	法轮功	732110
144	何君堯	731897
145	香港人權與民主法案	731371
146	阿斯達年代記	731168
147	BLACKPINK	730221
148	天气之子	728790
149	朴敏英	728352
150	2019年香港區議會選舉	728034
151	唐納·川普	727545
152	独孤皇后 (电视剧)	726379
153	胡锦涛	726330
154	Seventeen (組合)	725454
155	马来西亚	724554
156	5G	724146
157	薄熙来	721738
158	復仇者聯盟3：無限之戰	719842
159	賈靜雯	715816
160	越南	715443
161	YouTube	714399
162	AV帝王	709616
163	日本動畫列表 (2019年)	707957
164	潘曉穎命案	705292
165	蔣中正	702906
166	一千個晚安	701776
167	曾博恩	700966
168	邓小平	700614
169	周星馳	700075
170	金秘書為何那樣	696623
171	Mamamoo	687382
172	赵紫阳	686437
173	华晨宇	685374
174	名偵探柯南	685260
175	2018－2019年中美贸易战	684354
176	約定的夢幻島	682618
177	火影忍者	682503
178	孫中山	680904
179	三上悠亞	679874
180	肖戰	673181
181	劉德華	671566
182	TXT (組合)	660651
183	崔真理	656785
184	清朝	655367
185	優雅的家	654785
186	何韻詩	654726
187	七大罪 (漫畫)	654640
188	美国	654369
189	具荷拉	649040
190	想見你 (電視劇)	649036
191	孝儀純皇后	646294
192	怪奇物語	640614
193	張鈞甯	640573
194	柯文哲	639181
195	孤單又燦爛的神－鬼怪	637187
196	後宮甄嬛傳 (電視劇)	635993
197	李鍾碩	634690
198	中国共产党	633174
199	羅曼史是別冊附錄	633092
200	独孤天下	629832
201	愛情白皮書 (2019年電視劇)	629749
202	守護神之保險調查	629144
203	返校	627962
204	楊丞琳	627437
205	周興哲	623020
206	山茶花開時	620824
207	關於我轉生變成史萊姆這檔事角色列表	620774
208	王一博	616256
209	歐陽娜娜	614374
210	吳怡農	613404
211	認識的哥哥	610626
212	第二次世界大战	609846
213	網紅的瘋狂世界	609631
214	包青天再起風雲	606057
215	水行俠 (電影)	600769
216	二二八事件	599019
217	澳門	597686
218	雍正帝	595087
219	古天樂	591668
220	金材昱	590872
